TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd01,Rsvd02,Rsvd03,Rsvd04
2024-02-05,2024-02-05,CM,BSE,STK,536773,INE147P01019,JPOLYINVST,B,,,,,JINDAL POLY INVESTMENT AND FIN,713.85,722.00,693.90,695.70,704.00,702.30,,698.20,,,2191,1554708.00,457,F1,1,,,,,
2024-02-05,2024-02-05,CM,BSE,STK,536846,INE156M01017,YURANUS,XT,,,,,YURANUS INFRASTRUCTURE LTD,71.74,71.75,71.74,71.75,71.75,73.20,,71.75,,,1521,109116.00,3,F1,1,,,,,
2024-02-05,2024-02-05,CM,BSE,STK,536868,INE256F01019,INTELSOFT,XT,,,,,INTEGRA TELECOMMUNICATION & SO,11.20,11.20,10.55,10.67,10.55,11.06,,10.67,,,77695,836785.00,367,F1,1,,,,,
2024-02-05,2024-02-05,CM,BSE,STK,536960,INF247L01023,MOM100,B,,,,,MOTILAL OSWAL MUTUAL FUND - MO,51.71,52.05,51.47,51.60,52.00,51.71,,51.63,,,40361,2091928.00,449,F1,1,,,,,
2024-02-05,2024-02-05,CM,BSE,STK,536965,INE947C01010,BPCAP,X,,,,,B. P. CAPITAL LTD,4.90,4.90,4.90,4.90,4.90,4.90,,4.90,,,1737,8511.00,16,F1,1,,,,,
2024-02-05,2024-02-05,CM,BSE,STK,536974,INE536P01021,CPL,XT,,,,,CAPTAIN POLYPLAST LTD,50.39,51.00,47.88,48.11,48.00,50.39,,48.11,,,222178,10775730.00,927,F1,1,,,,,
2024-02-05,2024-02-05,CM,BSE,STK,537007,INF109K012R6,NIFTYIETF,B,,,,,ICICI Prudential Nifty ETF,238.76,240.94,238.55,238.95,238.90,239.76,,238.94,,,11625,2790435.00,367,F1,1,,,,,
2024-02-05,2024-02-05,CM,BSE,STK,537008,INF109KA1962,NIF100IETF,B,,,,,ICICI Prudential Nifty 100 ETF,239.37,245.35,239.37,243.00,243.00,245.50,,242.98,,,217,52915.00,26,F1,1,,,,,
2024-02-05,2024-02-05,CM,BSE,STK,537069,INE185K01036,ARNOLD,XT,,,,,ARNOLD HOLDINGS LTD,38.73,38.99,38.00,38.99,38.99,37.14,,38.99,,,318506,12410280.00,211,F1,1,,,,,
2024-02-05,2024-02-05,CM,BSE,STK,537253,INE671C01016,SUNLOC,XT,,,,,SUNIL HEALTHCARE LTD,75.00,75.95,71.10,73.75,73.75,74.27,,73.75,,,3244,233977.00,42,F1,1,,,,,
2024-02-05,2024-02-05,CM,BSE,STK,537254,INE140B01014,RCIIND,Z,,,,,RCI INDUSTRIES & TECHNOLOGIES,4.28,4.57,4.16,4.52,4.57,4.37,,4.52,,,8252,34903.00,38,F1,1,,,,,
2024-02-05,2024-02-05,CM,BSE,STK,537259,INE442P01014,SUYOG,X,,,,,SUYOG TELEMATICS LTD,1190.00,1244.00,1156.00,1214.15,1217.00,1175.40,,1214.15,,,46109,54947977.00,695,F1,1,,,,,
2024-02-05,2024-02-05,CM,BSE,STK,537291,INE448G01010,NATHBIOGEN,B,,,,,NATH BIO-GENES (INDIA) LTD,220.70,220.70,209.70,210.65,212.00,217.45,,210.70,,,16437,3510669.00,966,F1,1,,,,,
2024-02-05,2024-02-05,CM,BSE,STK,537292,INE449G01018,AGRITECH,B,,,,,AGRI- TECH (INDIA) LTD,210.10,216.35,208.00,209.50,209.50,214.35,,209.35,,,2875,606856.00,337,F1,1,,,,,
2024-02-05,2024-02-05,CM,BSE,STK,537326,INE212P01011,CHEMTECH,XT,,,,,CHEMTECH INDUSTRIAL VALVES LTD,86.25,86.25,86.25,86.25,86.25,84.56,,86.25,,,16499,1423038.00,32,F1,1,,,,,
2024-02-05,2024-02-05,CM,BSE,STK,537392,INE392H01018,TAAZAINT,XT,,,,,Taaza International Ltd,7.50,7.59,7.35,7.48,7.48,7.47,,7.48,,,16391,122141.00,86,F1,1,,,,,
2024-02-05,2024-02-05,CM,BSE,STK,537483,INF204K014N5,NIF100BEES,B,,,,,NIPPON INDIA ETF NIFTY 100,227.75,234.10,227.75,230.94,230.94,232.40,,231.37,,,1293,300337.00,150,F1,1,,,,,
2024-02-05,2024-02-05,CM,BSE,STK,537524,INE324N01027,VIAANINDUS,Z,,,,,Viaan Industries Limited,0.91,0.92,0.85,0.85,0.85,0.89,,0.85,,,194465,169483.00,289,F1,1,,,,,
