DATE|SCRIP CODE|DELIVERY QTY|DELIVERY VAL|DAY'S VOLUME|DAY'S TURNOVER|DELV. PER.
01012024|936400|000000090|0000000000089703|000000090|0000000000089703|100.00
01012024|936408|000000004|0000000000004280|000000004|0000000000004279|100.00
01012024|936412|000000351|0000000000383780|000000381|0000000000416002|092.13
01012024|936464|000001362|0000000002100204|000001362|0000000002097536|100.00
01012024|936520|000001100|0000000001170125|000001100|0000000001170990|100.00
01012024|936528|000000100|0000000000112890|000000100|0000000000112944|100.00
01012024|936570|000000100|0000000000149000|000000100|0000000000149000|100.00
01012024|936574|000000750|0000000000806250|000001359|0000000001457175|055.19
01012024|936602|000000516|0000000000549948|000000516|0000000000549563|100.00
01012024|936604|000000010|0000000000010130|000000010|0000000000010130|100.00
01012024|936606|000000010|0000000000015300|000000020|0000000000030311|050.00
01012024|936716|000000368|0000000000363952|000000368|0000000000364319|100.00
01012024|936718|000000052|0000000000054606|000000052|0000000000054605|100.00
01012024|936722|000000600|0000000000570000|000000600|0000000000573541|100.00
01012024|936758|000000001|0000000000001008|000000002|0000000000002016|050.00
01012024|936782|000000030|0000000000032850|000000030|0000000000032850|100.00
01012024|936792|000000125|0000000000131000|000000125|0000000000131000|100.00
01012024|936842|000000001|0000000000001007|000000001|0000000000001006|100.00
01012024|936936|000000030|0000000000030330|000000030|0000000000030330|100.00
01012024|936969|000000250|0000000000246000|000000290|0000000000285431|086.21
01012024|936971|000000003|0000000000002955|000000003|0000000000002955|100.00
01012024|936977|000000001|0000000000001020|000000001|0000000000001020|100.00
01012024|937009|000000943|0000000000943010|000001119|0000000001119807|084.27
01012024|937013|000000536|0000000000538680|000001213|0000000001218830|044.19
01012024|937017|000000065|0000000000065910|000000065|0000000000065822|100.00
01012024|937059|000000220|0000000000227703|000000220|0000000000227700|100.00
01012024|937069|000000103|0000000000110510|000000103|0000000000110510|100.00
01012024|937085|000000050|0000000000048750|000000050|0000000000048750|100.00
01012024|937091|000000004|0000000000003996|000000004|0000000000003996|100.00
01012024|937115|000000013|0000000000018135|000000026|0000000000035945|050.00
01012024|937307|000000200|0000000000264000|000000200|0000000000264000|100.00
01012024|937339|000000321|0000000000304950|000000421|0000000000398598|076.25
01012024|937361|000000010|0000000000010292|000000010|0000000000010292|100.00
01012024|937373|000000300|0000000000301080|000000300|0000000000301060|100.00
01012024|937381|000000019|0000000000018126|000000019|0000000000018126|100.00
01012024|937385|000001020|0000000001041798|000001020|0000000001043229|100.00
01012024|937405|000000100|0000000000098500|000000165|0000000000161526|060.61
01012024|937407|000000020|0000000000019600|000000020|0000000000019600|100.00
01012024|937415|000000148|0000000000184379|000000148|0000000000186153|100.00
01012024|937429|000000092|0000000000115920|000000092|0000000000115920|100.00
01012024|937447|000000005|0000000000006195|000000005|0000000000006195|100.00
01012024|937455|000000945|0000000000923265|000000945|0000000000921475|100.00
01012024|937467|000000275|0000000000274945|000000275|0000000000274945|100.00
01012024|937491|000000041|0000000000042845|000000041|0000000000042900|100.00
01012024|937493|000000010|0000000000012243|000000010|0000000000012242|100.00
01012024|937495|000000595|0000000000563168|000000596|0000000000564383|099.83
01012024|937541|000000109|0000000000111180|000000109|0000000000111080|100.00
01012024|937561|000001459|0000000000043041|000001459|0000000000042906|100.00
01012024|937625|000000204|0000000000197836|000000356|0000000000343486|057.30
01012024|937627|000000020|0000000000019904|000000020|0000000000019913|100.00
01012024|937631|000001059|0000000001016588|000001262|0000000001205387|083.91
01012024|937633|000000390|0000000000372762|000000392|0000000000373926|099.49
01012024|937635|000000006|0000000000006793|000000007|0000000000007898|085.71
01012024|937637|000000806|0000000000700922|000000806|0000000000704583|100.00
01012024|937681|000000010|0000000000009500|000000010|0000000000009500|100.00
01012024|937707|000000649|0000000000624014|000000649|0000000000624013|100.00
01012024|937709|000002030|0000000001920380|000002030|0000000001920380|100.00
01012024|937779|000000002|0000000000002332|000000002|0000000000002332|100.00
01012024|937781|000000051|0000000000059670|000000051|0000000000059670|100.00
01012024|937787|000000045|0000000000015390|000000045|0000000000015390|100.00
01012024|937793|000000342|0000000000333382|000000342|0000000000333346|100.00
01012024|937795|000000010|0000000000009651|000000010|0000000000009650|100.00
01012024|937799|000000360|0000000000333000|000000360|0000000000331983|100.00
01012024|937803|000000010|0000000000010110|000000010|0000000000010110|100.00
01012024|937805|000000014|0000000000012362|000000014|0000000000012516|100.00
01012024|937807|000000006|0000000000005243|000000006|0000000000005242|100.00
01012024|937825|000000400|0000000000374800|000000400|0000000000374800|100.00
01012024|937827|000000208|0000000000194480|000000478|0000000000437381|043.51
01012024|937853|000000055|0000000000063140|000000055|0000000000063228|100.00
01012024|937889|000000080|0000000000079200|000000080|0000000000079200|100.00
01012024|937921|000000099|0000000000080676|000000099|0000000000080675|100.00
01012024|937935|000000500|0000000000498250|000000500|0000000000498250|100.00
01012024|937989|000000070|0000000000072100|000000070|0000000000072200|100.00
01012024|937991|000000005|0000000000005604|000000005|0000000000005604|100.00
01012024|937993|000000400|0000000000380872|000000400|0000000000380873|100.00
01012024|937999|000000116|0000000000106144|000000116|0000000000106445|100.00
01012024|938001|000000010|0000000000009532|000000010|0000000000009532|100.00
01012024|938009|000000452|0000000000431660|000000452|0000000000431660|100.00
01012024|938011|000000050|0000000000046200|000000050|0000000000046200|100.00
01012024|938013|000001260|0000000001263780|000001260|0000000001260642|100.00
01012024|938015|000000150|0000000000145470|000000150|0000000000145470|100.00
01012024|938021|000000050|0000000000046250|000000050|0000000000046250|100.00
01012024|938023|000000157|0000000000156999|000000157|0000000000156998|100.00
01012024|938025|000000020|0000000000019908|000000020|0000000000019910|100.00
01012024|938051|000000001|0000000000001114|000000001|0000000000001114|100.00
01012024|938053|000000018|0000000000017640|000000018|0000000000017740|100.00
01012024|938073|000000100|0000000000094600|000000100|0000000000094600|100.00
01012024|938075|000000010|0000000000010505|000000010|0000000000010505|100.00
01012024|938077|000000010|0000000000010100|000000010|0000000000010100|100.00
01012024|938087|000000010|0000000000009950|000000010|0000000000009950|100.00
01012024|938095|000000100|0000000000102000|000000100|0000000000102000|100.00
01012024|938097|000000050|0000000000053760|000000050|0000000000053765|100.00
01012024|938099|000000200|0000000000192640|000000215|0000000000204456|093.02
01012024|938105|000000069|0000000000064515|000000119|0000000000110133|057.98
01012024|938123|000000200|0000000000190000|000000200|0000000000190000|100.00
01012024|938131|000000060|0000000000059100|000000075|0000000000074224|080.00
01012024|938137|000000162|0000000000173340|000000162|0000000000173340|100.00
01012024|938145|000000400|0000000000395600|000000400|0000000000395600|100.00
01012024|938180|000000009|0000000000008635|000000009|0000000000008634|100.00
01012024|938202|000000100|0000000000099500|000000100|0000000000099500|100.00
01012024|938204|000000155|0000000000161334|000000155|0000000000162750|100.00
01012024|938206|000000199|0000000000188851|000000293|0000000000278034|067.92
01012024|938208|000000077|0000000000073535|000000077|0000000000073760|100.00
01012024|938210|000000010|0000000000010152|000000010|0000000000010152|100.00
01012024|938222|000000069|0000000000020956|000000069|0000000000020955|100.00
01012024|938224|000002720|0000000000827887|000002721|0000000000828852|099.96
01012024|938226|000000079|0000000000032311|000000079|0000000000031903|100.00
01012024|938260|000000016|0000000000015906|000000016|0000000000015905|100.00
01012024|938286|000000025|0000000000024500|000000025|0000000000024500|100.00
01012024|938298|000000042|0000000000040325|000000042|0000000000040324|100.00
01012024|938326|000000063|0000000000063000|000000063|0000000000063000|100.00
01012024|938330|000000060|0000000000061200|000000060|0000000000061200|100.00
01012024|938356|000000036|0000000000037620|000000045|0000000000046689|080.00
01012024|938358|000000100|0000000000095000|000000100|0000000000095000|100.00
01012024|938362|000000095|0000000000096906|000000095|0000000000096742|100.00
01012024|938364|000000096|0000000000094080|000000096|0000000000094080|100.00
01012024|938370|000001472|0000000001350884|000001525|0000000001411785|096.52
01012024|938372|000000316|0000000000316000|000000316|0000000000316000|100.00
01012024|938374|000000001|0000000000001026|000000001|0000000000001025|100.00
01012024|938378|000001689|0000000001718153|000001789|0000000001814054|094.41
01012024|938382|000001000|0000000000940000|000001000|0000000000940000|100.00
01012024|938386|000002627|0000000002679540|000002627|0000000002671835|100.00
01012024|938412|000000010|0000000000009600|000000010|0000000000009645|100.00
01012024|938424|000000060|0000000000057600|000000060|0000000000057600|100.00
01012024|938434|000000060|0000000000057600|000000060|0000000000057600|100.00
01012024|938438|000000050|0000000000051810|000000100|0000000000102570|050.00
01012024|938470|000000014|0000000000014658|000000014|0000000000014658|100.00
01012024|938516|000000074|0000000000074548|000000187|0000000000184920|039.57
01012024|938528|000000019|0000000000018050|000000019|0000000000018090|100.00
01012024|938532|000000011|0000000000010780|000000011|0000000000010780|100.00
01012024|938544|000000002|0000000000001980|000000002|0000000000001980|100.00
01012024|938550|000000003|0000000000002882|000000003|0000000000002881|100.00
01012024|938554|000000002|0000000000002031|000000002|0000000000002030|100.00
01012024|938556|000000200|0000000000202000|000000200|0000000000202000|100.00
01012024|938564|000000001|0000000000000967|000000001|0000000000000966|100.00
01012024|938580|000000018|0000000000018648|000000018|0000000000018678|100.00
01012024|938588|000000025|0000000000025692|000000025|0000000000025691|100.00
01012024|938632|000000330|0000000000305250|000000330|0000000000304880|100.00
01012024|938638|000000100|0000000000100100|000000100|0000000000100100|100.00
01012024|938640|000000050|0000000000050000|000000101|0000000000093955|049.50
01012024|938660|000000450|0000000000433710|000000553|0000000000526771|081.37
01012024|938664|000000160|0000000000156800|000000160|0000000000157520|100.00
01012024|938698|000000115|0000000000116610|000000115|0000000000116467|100.00
01012024|938706|000000100|0000000000109600|000000100|0000000000109600|100.00
01012024|938720|000000002|0000000000001980|000000002|0000000000001980|100.00
01012024|938726|000000050|0000000000048507|000000050|0000000000049358|100.00
01012024|938742|000000200|0000000000200742|000000200|0000000000200742|100.00
01012024|938746|000000030|0000000000028056|000000030|0000000000028103|100.00
01012024|938776|000000030|0000000000029400|000000030|0000000000029400|100.00
01012024|938798|000000390|0000000000395850|000000400|0000000000405950|097.50
01012024|938800|000000030|0000000000030000|000000030|0000000000030000|100.00
01012024|938802|000000400|0000000000404000|000000400|0000000000404000|100.00
01012024|938874|000000012|0000000000011940|000000012|0000000000011940|100.00
01012024|938890|000000010|0000000000009939|000000010|0000000000009938|100.00
01012024|938892|000000300|0000000000304500|000000500|0000000000506900|060.00
01012024|938898|000000057|0000000000053580|000000057|0000000000053580|100.00
01012024|938910|000000060|0000000000057600|000000060|0000000000057600|100.00
01012024|938914|000000025|0000000000024200|000000025|0000000000024200|100.00
01012024|938916|000000100|0000000000097360|000000100|0000000000097360|100.00
01012024|938920|000000159|0000000000156107|000000159|0000000000156106|100.00
01012024|938932|000000100|0000000000100000|000000100|0000000000100000|100.00
01012024|938958|000000300|0000000000304500|000000300|0000000000304500|100.00
01012024|939010|000000005|0000000000005000|000000005|0000000000005000|100.00
01012024|939018|000000560|0000000000563416|000000560|0000000000563416|100.00
01012024|939026|000000050|0000000000049950|000000050|0000000000049660|100.00
01012024|939032|000000001|0000000000001055|000000001|0000000000001055|100.00
01012024|939034|000000006|0000000000006000|000000006|0000000000006000|100.00
01012024|939040|000000065|0000000000063505|000000065|0000000000063505|100.00
01012024|939044|000000025|0000000000025000|000000033|0000000000032375|075.76
01012024|939052|000000075|0000000000068250|000000075|0000000000068250|100.00
01012024|939054|000010251|0000000010209586|000010251|0000000010208886|100.00
01012024|939058|000000010|0000000000009750|000000010|0000000000009750|100.00
01012024|939094|000000010|0000000000008265|000000010|0000000000008264|100.00
01012024|939148|000000010|0000000000009802|000000010|0000000000009801|100.00
01012024|939150|000000010|0000000000009850|000000010|0000000000009850|100.00
01012024|939152|000000128|0000000000128640|000000138|0000000000137565|092.75
01012024|947841|000000031|0000000000155000|000000031|0000000000155000|100.00
01012024|957806|000000001|0000000000265000|000000001|0000000000265000|100.00
01012024|958176|000000005|0000000000764500|000000005|0000000000764500|100.00
01012024|958656|000000001|0000000001050000|000000001|0000000001050000|100.00
01012024|959756|000000002|0000000002065474|000000002|0000000002065737|100.00
01012024|961732|000000400|0000000000437840|000000400|0000000000437800|100.00
01012024|961734|000000300|0000000000345600|000000300|0000000000345600|100.00
01012024|961744|000001000|0000000001116000|000001000|0000000001116000|100.00
01012024|961756|000000200|0000000000218800|000000200|0000000000218845|100.00
01012024|961776|000000015|0000000000017828|000000015|0000000000017827|100.00
01012024|961779|000000280|0000000000318125|000000280|0000000000318124|100.00
01012024|961785|000000025|0000000000029248|000000025|0000000000029247|100.00
01012024|961804|000000015|0000000000019125|000000020|0000000000025485|075.00
01012024|961816|000001290|0000000001647330|000001518|0000000001935062|084.98
01012024|961824|000000025|0000000000026700|000000025|0000000000026700|100.00
01012024|961826|000002043|0000000002496363|000002044|0000000002500322|099.95
01012024|961839|000000075|0000000000096578|000000075|0000000000096577|100.00
01012024|961841|000000076|0000000000102600|000000076|0000000000102556|100.00
01012024|961861|000000331|0000000000333648|000000431|0000000000434641|076.80
01012024|961863|000000050|0000000000058013|000000050|0000000000058012|100.00
01012024|961865|000000010|0000000000012782|000000010|0000000000012781|100.00
01012024|961873|000000011|0000000000011176|000000011|0000000000011176|100.00
01012024|961885|000000080|0000000000097001|000000130|0000000000161425|061.54
01012024|961917|000000562|0000000000719360|000000562|0000000000717085|100.00
01012024|972655|000000030|0000000001045500|000000030|0000000001045500|100.00
01012024|972657|000000010|0000000000104000|000000010|0000000000104000|100.00
01012024|972691|000000020|0000000000206200|000000020|0000000000206200|100.00
01012024|972716|000000008|0000000000041760|000000008|0000000000041760|100.00
01012024|972721|000000004|0000000000048128|000000004|0000000000048128|100.00
01012024|973491|000002834|0000000002238747|000002834|0000000002238125|100.00
01012024|973878|000000001|0000000001035000|000000001|0000000001035000|100.00
01012024|973881|000000001|0000000001048000|000000001|0000000001048000|100.00
01012024|974286|000000001|0000000001025444|000000001|0000000001025444|100.00
01012024|974336|000000002|0000000002114000|000000002|0000000002114000|100.00
01012024|974452|000000001|0000000001000000|000000001|0000000001000000|100.00
01012024|974561|000000001|0000000000100500|000000001|0000000000100500|100.00
01012024|974634|000000001|0000000000097000|000000001|0000000000097000|100.00
01012024|974635|000000001|0000000000101100|000000001|0000000000101100|100.00
01012024|974979|000000073|0000000007664271|000000080|0000000008397711|091.25
01012024|974998|000000010|0000000001008000|000000010|0000000001007541|100.00
01012024|975012|000000003|0000000000294360|000000003|0000000000294360|100.00
01012024|975137|000000064|0000000006563225|000000065|0000000006665724|098.46
01012024|975140|000000008|0000000000800000|000000008|0000000000800000|100.00
01012024|975141|000000004|0000000000400000|000000004|0000000000400000|100.00
01012024|975222|000000009|0000000000899487|000000009|0000000000899487|100.00
01012024|975235|000000013|0000000001299870|000000013|0000000001298425|100.00
01012024|500002|000000452|0000000002114705|000001787|0000000008375148|025.29
01012024|500003|000020149|0000000007039054|000036265|0000000012666745|055.56
01012024|500008|000060065|0000000049544616|000080805|0000000066405907|074.33
01012024|500009|000152698|0000000006008795|000152698|0000000006008795|100.00
01012024|500012|000131697|0000000010882124|000164829|0000000013582809|079.90
01012024|500013|000022764|0000000000251997|000022764|0000000000251997|100.00
01012024|500014|000061964|0000000000445522|000087176|0000000000616075|071.08
01012024|500016|000021068|0000000000333507|000026591|0000000000419526|079.23
01012024|500020|000042440|0000000006599420|000102137|0000000015959002|041.55
01012024|500027|000000218|0000000001557501|000000555|0000000003976683|039.28
01012024|500028|000074874|0000000001145533|000074874|0000000001145533|100.00
01012024|500031|000003667|0000000003640231|000006159|0000000006125279|059.54
01012024|500032|000761591|0000000021431171|001485819|0000000041943333|051.26
01012024|500033|000009736|0000000035869372|000016347|0000000060075770|059.56
01012024|500034|000003476|0000000025369413|000009925|0000000072489251|035.02
01012024|500038|000178283|0000000073853733|000354554|0000000147761876|050.28
01012024|500039|000010137|0000000006381749|000058270|0000000037243611|017.40
01012024|500040|000005356|0000000006855680|000016230|0000000020499954|033.00
01012024|500041|000000008|0000000000020612|000000015|0000000000038591|053.33
01012024|500042|000000538|0000000001654243|000001120|0000000003445125|048.04
01012024|500043|000002260|0000000003701089|000004215|0000000006932820|053.62
01012024|500048|000001455|0000000004130309|000004434|0000000012651008|032.81
01012024|500049|000416560|0000000077084428|000821655|0000000152541918|050.70
01012024|500052|000120115|0000000012443914|000231809|0000000023981661|051.82
01012024|500058|000059434|0000000000630966|000059434|0000000000630966|100.00
01012024|500059|000006693|0000000000106956|000006693|0000000000106956|100.00
01012024|500060|000009142|0000000002615984|000015887|0000000004546232|057.54
01012024|500067|000001111|0000000001053895|000003660|0000000003464598|030.36
01012024|500068|000000028|0000000000448000|000000035|0000000000558980|080.00
01012024|500069|000000366|0000000000144003|000000474|0000000000185463|077.22
01012024|500074|000016463|0000000001409241|000016463|0000000001409241|100.00
01012024|500078|000007536|0000000003068283|000011985|0000000004928027|062.88
01012024|500083|000050691|0000000000975802|000080175|0000000001557390|063.23
01012024|500084|000138585|0000000018965358|000557135|0000000075540467|024.87
01012024|500085|000052959|0000000020153548|000142762|0000000054523470|037.10
01012024|500086|000320280|0000000103050090|000501072|0000000161536003|063.92
01012024|500087|000013704|0000000017144390|000023966|0000000029990312|057.18
01012024|500089|000000100|0000000000050000|000000101|0000000000050200|099.01
01012024|500092|000000816|0000000003482240|000002003|0000000008583966|040.74
01012024|500093|000059725|0000000026837429|000093981|0000000042429726|063.55
01012024|500096|000026315|0000000014674560|000061948|0000000034630828|042.48
01012024|500097|000002631|0000000001091602|000006454|0000000002682273|040.77
01012024|500101|000044928|0000000011328596|000079103|0000000020276151|056.80
01012024|500103|001133561|0000000224841825|004608587|0000000926692227|024.60
01012024|500104|000100006|0000000039982399|000241675|0000000096937500|041.38
01012024|500106|000919471|0000000026664659|003607288|0000000105395698|025.49
01012024|500108|000405551|0000000013476460|001374755|0000000046718957|029.50
01012024|500109|000094951|0000000012599998|000197274|0000000026249736|048.13
01012024|500110|000011560|0000000008124946|000051827|0000000036429575|022.30
01012024|500111|000130745|0000000001555865|000130745|0000000001555865|100.00
01012024|500112|000168747|0000000108327137|000794497|0000000511143779|021.24
01012024|500113|000731350|0000000091162778|002896926|0000000363358805|025.25
01012024|500114|000012815|0000000047095766|000021736|0000000079966716|058.96
01012024|500116|000453489|0000000030624113|001164966|0000000079230641|038.93
01012024|500117|000222931|0000000012687004|000425530|0000000024439111|052.39
01012024|500119|000029032|0000000007737028|000093405|0000000024865461|031.08
01012024|500120|000002630|0000000001433219|000003894|0000000002133247|067.54
01012024|500123|000000750|0000000006399338|000000972|0000000008307860|077.16
01012024|500124|000004278|0000000024893896|000009215|0000000053746107|046.42
01012024|500125|000005338|0000000002990615|000009236|0000000005184929|057.80
01012024|500126|000000115|0000000000570998|000000243|0000000001204479|047.33
01012024|500128|000076628|0000000008586168|000128106|0000000014329118|059.82
