Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,01012025,782413376,0002609
Trade Date <01-JAN-2025>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2019,SANDUMA,EQ,109954,64447,58.61
20,2020,SANGAMIND,EQ,25454,20291,79.72
20,2021,SANGANI,ST,12000,12000,100.00
20,2022,SANGHIIND,EQ,349510,153942,44.05
20,2023,SANGHVIMOV,EQ,90789,49542,54.57
20,2024,SANGINITA,EQ,62992,45567,72.34
20,2025,SANOFI,EQ,5074,2843,56.03
20,2026,SANOFICONR,EQ,2854,1503,52.66
20,2027,SANSERA,EQ,89580,61209,68.33
20,2028,SANSTAR,EQ,263996,125685,47.61
20,2029,SAPPHIRE,EQ,422687,116881,27.65
20,2030,SARDAEN,EQ,558480,156466,28.02
20,2031,SAREGAMA,EQ,955806,234221,24.51
20,2032,SAROJA,SM,4800,1600,33.33
20,2033,SARTELE,SM,67000,40500,60.45
20,2034,SARVESHWAR,EQ,7268369,4269940,58.75
20,2035,SASKEN,EQ,4048,2805,69.29
20,2036,SASTASUNDR,EQ,10215,5841,57.18
20,2037,SATECH,ST,20000,20000,100.00
20,2038,SATIA,EQ,94012,45320,48.21
20,2039,SATIN,EQ,72571,36507,50.31
20,2040,SATINDLTD,EQ,168062,77444,46.08
20,2041,SATIPOLY,SM,2000,1500,75.00
20,2042,SAURASHCEM,EQ,34158,15918,46.60
20,2043,SBC,EQ,2499889,1377910,55.12
20,2044,SBCL,EQ,52806,27160,51.43
20,2045,SBFC,EQ,808124,348555,43.13
20,2046,SBGLP,EQ,373185,142711,38.24
20,2047,SBICARD,EQ,443863,161697,36.43
20,2048,SBIETFCON,EQ,3110,2363,75.98
20,2049,SBIETFIT,EQ,3835,2505,65.32
20,2050,SBIETFPB,EQ,3687,1369,37.13
20,2051,SBIETFQLTY,EQ,1151,1026,89.14
20,2052,SBILIFE,EQ,511676,265275,51.84
20,2053,SBIN,EQ,7273098,3460010,47.57
20,2054,SBINEQWETF,EQ,7952,7005,88.09
20,2055,SBISILVER,EQ,44699,42126,94.24
20,2056,SCHAEFFLER,EQ,23861,12196,51.11
20,2057,SCHAND,EQ,20380,11112,54.52
20,2058,SCHNEIDER,EQ,137301,43107,31.40
20,2059,SCI,EQ,787601,268685,34.11
20,2060,SCILAL,EQ,701913,321166,45.76
20,2061,SCLZC25B,AT,10,10,100.00
20,2062,SCML,SM,2000,1000,50.00
20,2063,SDBL,EQ,287515,132028,45.92
20,2064,SDL26BEES,EQ,1989,101,5.08
20,2065,SDREAMS,SM,20000,14000,70.00
20,2066,SEAMECLTD,EQ,9067,5468,60.31
20,2067,SECL,ST,25000,25000,100.00
20,2068,SECMARK,EQ,586,365,62.29
20,2069,SECURKLOUD,EQ,75452,35772,47.41
20,2070,SEL,ST,1200,1200,100.00
20,2071,SELAN,EQ,18184,10141,55.77
20,2072,SELMC,EQ,9894,2838,28.68
20,2073,SENCO,EQ,272843,89662,32.86
20,2074,SENORES,EQ,1164442,421908,36.23
20,2075,SENSEXADD,EQ,3878,2587,66.71
20,2076,SENSEXETF,EQ,5041,3346,66.38
20,2077,SENSEXIETF,EQ,2100,1250,59.52
