Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,05022024,2874361421,0002392
Trade Date <05-FEB-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2321,VINYAS,SM,12800,11200,87.50
20,2322,VINYLINDIA,EQ,46056,23242,50.46
20,2323,VIPCLOTHNG,EQ,2938999,1419956,48.31
20,2324,VIPIND,EQ,1395151,838432,60.10
20,2325,VIPULLTD,EQ,118606,71949,60.66
20,2326,VIRINCHI,EQ,903896,534889,59.18
20,2327,VISAKAIND,EQ,1234050,912758,73.96
20,2328,VISHNU,EQ,99315,68638,69.11
20,2329,VISHNUINFR,SM,106000,68000,64.15
20,2330,VISHWARAJ,EQ,7537440,3206696,42.54
20,2331,VITAL,SM,33600,27600,82.14
20,2332,VIVIANA,ST,15000,15000,100.00
20,2333,VLSFINANCE,EQ,97942,63753,65.09
20,2334,VMARCIND,SM,69000,50000,72.46
20,2335,VMART,EQ,15912,5936,37.31
20,2336,VOLTAMP,EQ,47548,37921,79.75
20,2337,VOLTAS,EQ,1750764,743261,42.45
20,2338,VPRPL,EQ,716434,383592,53.54
20,2339,VRLLOG,EQ,207666,40561,19.53
20,2340,VSCL,SM,12000,12000,100.00
20,2341,VSSL,EQ,104430,58719,56.23
20,2342,VSTIND,EQ,7086,3660,51.65
20,2343,VSTTILLERS,EQ,19378,10871,56.10
20,2344,VTL,EQ,920368,409890,44.54
20,2345,WABAG,EQ,1733078,619090,35.72
20,2346,WALCHANNAG,EQ,472456,315275,66.73
20,2347,WALPAR,ST,8000,6000,75.00
20,2348,WEALTH,EQ,7428,6111,82.27
20,2349,WEBELSOLAR,EQ,325974,295835,90.75
20,2350,WEIZMANIND,EQ,14709,10533,71.61
20,2351,WEL,EQ,3378,2279,67.47
20,2352,WELCORP,EQ,922243,567052,61.49
20,2353,WELENT,EQ,373951,208071,55.64
20,2354,WELINV,EQ,1102,763,69.24
20,2355,WELSPUNLIV,EQ,2096442,922525,44.00
20,2356,WENDT,EQ,238,136,57.14
20,2357,WESTLIFE,EQ,46291,20937,45.23
20,2358,WHEELS,EQ,107860,54492,50.52
20,2359,WHIRLPOOL,EQ,71646,36473,50.91
20,2360,WINDLAS,EQ,58400,29109,49.84
20,2361,WINDMACHIN,EQ,136132,72881,53.54
20,2362,WIPRO,EQ,5783302,2214280,38.29
20,2363,WOCKPHARMA,EQ,623599,224820,36.05
20,2364,WOMANCART,SM,16000,12800,80.00
20,2365,WONDERLA,EQ,32271,19173,59.41
20,2366,WORTH,EQ,39466,22235,56.34
20,2367,WSI,EQ,217705,129705,59.58
20,2368,WSTCSTPAPR,EQ,487043,252897,51.92
20,2369,XCHANGING,EQ,1641707,667568,40.66
20,2370,XPROINDIA,EQ,44581,17689,39.68
20,2371,YASHO,EQ,11155,8011,71.82
20,2372,YATHARTH,EQ,484741,242683,50.06
20,2373,YATRA,EQ,597425,245952,41.17
20,2374,YCCL,SM,153000,123000,80.39
20,2375,YESBANK,EQ,225297171,87063709,38.64
20,2376,YUDIZ,SM,33600,27200,80.95
20,2377,YUKEN,EQ,4995,3351,67.09
20,2378,ZAGGLE,EQ,1172684,501378,42.75
20,2379,ZEAL,SM,11400,10200,89.47
20,2380,ZEEL,EQ,26473589,12654439,47.80
20,2381,ZEEMEDIA,EQ,14538520,4489947,30.88
20,2382,ZENITHEXPO,EQ,1558,832,53.40
20,2383,ZENSARTECH,EQ,584942,316821,54.16
20,2384,ZFCVINDIA,EQ,37533,32347,86.18
20,2385,ZIMLAB,EQ,236330,134623,56.96
20,2386,ZODIACLOTH,EQ,83041,56403,67.92
20,2387,ZOMATO,EQ,54189688,28684817,52.93
20,2388,ZOTA,EQ,16877,10209,60.49
20,2389,ZUARI,EQ,607227,303224,49.94
20,2390,ZUARIIND,EQ,87479,51878,59.30
20,2391,ZYDUSLIFE,EQ,1160781,257848,22.21
20,2392,ZYDUSWELL,EQ,16735,9659,57.72
